Gemeente;NIS-code;Indicator;Jaar;Type;Mediaanprijs (in euro)
Brasschaat;11008;Mediaanprijs huizen;2024;Open bebouwing;718000,0
Brasschaat;11008;Mediaanprijs huizen;2025;Alle huizen;545050,0
Brasschaat;11008;Mediaanprijs huizen;2025;Gesloten/halfopen bebouwing;448840,0
Brasschaat;11008;Mediaanprijs huizen;2025;Open bebouwing;780000,0
Brecht;11009;Mediaanprijs huizen;2010;Alle huizen;265000,0
Brecht;11009;Mediaanprijs huizen;2010;Gesloten/halfopen bebouwing;242250,0
Brecht;11009;Mediaanprijs huizen;2010;Open bebouwing;287500,0
Brecht;11009;Mediaanprijs huizen;2011;Alle huizen;265000,0
Brecht;11009;Mediaanprijs huizen;2011;Gesloten/halfopen bebouwing;220000,0
Brecht;11009;Mediaanprijs huizen;2011;Open bebouwing;305000,0
Brecht;11009;Mediaanprijs huizen;2012;Alle huizen;299000,0
Brecht;11009;Mediaanprijs huizen;2012;Gesloten/halfopen bebouwing;235000,0
Brecht;11009;Mediaanprijs huizen;2012;Open bebouwing;315000,0
Brecht;11009;Mediaanprijs huizen;2013;Alle huizen;290000,0
Brecht;11009;Mediaanprijs huizen;2013;Gesloten/halfopen bebouwing;240000,0
Brecht;11009;Mediaanprijs huizen;2013;Open bebouwing;310000,0
Brecht;11009;Mediaanprijs huizen;2014;Alle huizen;296500,0
Brecht;11009;Mediaanprijs huizen;2014;Gesloten/halfopen bebouwing;257500,0
Brecht;11009;Mediaanprijs huizen;2014;Open bebouwing;315000,0
Brecht;11009;Mediaanprijs huizen;2015;Alle huizen;291750,0
Brecht;11009;Mediaanprijs huizen;2015;Gesloten/halfopen bebouwing;225000,0
Brecht;11009;Mediaanprijs huizen;2015;Open bebouwing;315000,0
Brecht;11009;Mediaanprijs huizen;2016;Alle huizen;300000,0
Brecht;11009;Mediaanprijs huizen;2016;Gesloten/halfopen bebouwing;242500,0
Brecht;11009;Mediaanprijs huizen;2016;Open bebouwing;327000,0
Brecht;11009;Mediaanprijs huizen;2017;Alle huizen;310000,0
Brecht;11009;Mediaanprijs huizen;2017;Gesloten/halfopen bebouwing;250000,0
